rowid,Text,SurveyRating,FeedbackType,Platform,OCVSource,Category,SubCategory,FeatureMentioned,Existing Feature
3392,Still learning the app. ,4,Feature Survey,iOS,Floodgate,Enhancement Request,Early Survey Prompt,,
3396,Feed slow to load ,NULL,Frown,iOS,Send-A-Smile,Issue,Performance,,
3409,Great initiative. Lot of room for improvement. ,4,Feature Survey,iOS,Floodgate,Critique,Other,,
3425,need to be able to multi-select receipts from folder instead of having to do it one by one.,2,Feature Survey,Android,Floodgate,Enhancement Request,UI,StayFit,Yes
3429,Primarily use it for Health Check app. Super fast(faster than using the web page in a browser) and convenient. ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,HealthCheck,Yes
3477,I cannot use the app because it now says I need to upgrade but it's not offering any upgrade. Broken.,NULL,Frown,Android,Send-A-Smile,Issue,Access,,
3478,"It's great that we're increasing the amount of information available. However, updating the app was confusing recently.",4,Feature Survey,Android,Floodgate,Critique,UI,,
3480,Important information ready for consumption,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3482,"Everything in one place! Love the Covid Daly check in, updates from my campus and Stayfit and the rest. Looking forward to submit my TAR on this on the future... I hope",5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,"HealthCheck, StayFit, News",Yes
3498,"Haven?t really used the app yet, but on the surface it looks like it has just about everything I need in one place ",5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3500,"Doesn?t let me login with the error ?failed to retrieve user details. Functionality may be limited.? Probably because I don?t have Intune, but if that?s the case the error should say so. ",2,Feature Survey,iOS,Floodgate,Issue,Access,,
3503,Need more business tools added though!,5,Feature Survey,Android,Floodgate,Enhancement Request,UI,,
3524,Extremely responsive app with lot of relevant information. Health check works like charm. ,5,Feature Survey,iOS,Floodgate,Appreciation,Performance,HealthCheck,Yes
3532,I didn?t even know it existed until last week so it?s awesome to find it. ,5,Feature Survey,iOS,Floodgate,Appreciation,Other,,
3534,Nothing shows up when I click on the expense square. ,1,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Expense,Yes
3540,"Just enabled the app lock feature and love it. Hey folks, overall, this is really a great app. I love it, seriously. Thank you for all of your hard work here and diligence. I hope to share this with your entire team. I use most of the features on a daily basis.",NULL,Smile,iOS,Send-A-Smile,Appreciation,Access,,
3542,Great app with solid features.,4,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3544,simple,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
3558,It?s strange to popup a survey about my experience with the app immediately on my launching the app and not even having used it ??,4,Feature Survey,iOS,Floodgate,Enhancement Request,Early Survey Prompt,,
3560,Keep up the good work on security,5,Feature Survey,Android,Floodgate,Appreciation,Access,,
3561,In the time away app I need to be able to enter a specific number of hours. I rarely take a full 8 hours off during the week. ,4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Time-Off,Yes
3562,Love all the features and tools in one place. Easy to use. Good data summaries (like vacation breakdown). I like that you can complete full tasks like Stayfit reimbursement end to end from the app!,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,"Time-Off, StayFit",Yes
3563,Would like to also have donation / give information in this app. ,4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Give,No
3568,Breath of fresh air when comparing it to the conventional tools we use on PC. ,5,Feature Survey,iOS,Floodgate,Appreciation,Performance,,
3572,Expenses not showing up,4,Feature Survey,iOS,Floodgate,Issue,Reliability/Stability,,
3573,Getting more and more out of this app on every update. Love the iterative addition of value! I prefer to do everything Corp from this app first. Great job!,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3578,It?s a pretty powerful tool with a lot of available and useful information.  ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3582,Very user friendly and many options available ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3591,simple! accessible! ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3620,"Great app, super useful for common tasks!",5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3635,Good app very useful ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3643,convenient tools for my mobile device,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
3644,"Keep adding more features, ",5,Feature Survey,iOS,Floodgate,Enhancement Request,UI,,
3646,Very helpful!,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3664,"So far it seems very intuitive, user friendly, have a lot of good information and uses! I did try to enter a vacation day and encountered a Not Available error. However I was able to enter floating holidays and everything worked beautifully!",4,Feature Survey,Android,Floodgate,Issue,Reliability/Stability,Time-Off,Yes
3665,No longer able to log in and just have a blank screen,1,Feature Survey,iOS,Floodgate,Issue,Access,,
3667,Love almost everything in one place  ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3671,I was hoping to see even more - e.g. Status on past expense reports. Overall a pretty useful app. ,4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Expense,Yes
3672,refuses to log me in,1,Feature Survey,Android,Floodgate,Issue,Access,,
3674,"connectivity issues, and uncertainty if my communication went through",4,Feature Survey,Android,Floodgate,Issue,Reliability/Stability,,
3682,Still feeling my way around the capabilities. Love the ease at which I can update my time off. Surprised I didn?t get an email notice of the submission which I was expecting.,4,Feature Survey,iOS,Floodgate,Enhancement Request,Other,Time-Off,Yes
3695,"Links open in default browser.  Allow selection of browser for links to open in.  For example, Safari is my default browser.  I use Edge on my iPhone for work. I can?t open links from this app directly in Edge unless I make Edge my default browser. T *the attached screen shot shows the ?open links with? setting from the iOS Outlook app. ",NULL,Frown,iOS,Send-A-Smile,Enhancement Request,Ease of Use,Browser Selection,No
3696,Way faster than the website. Thanks for the speedier Auth process via this app. ,NULL,Smile,Android,Send-A-Smile,Appreciation,Performance,,
3698,"I just wanted to say that I'm super impressed. I don't think I've ever used an internal tool that's better than ""mostly works"", but this seems like a legitimately great app. Kudos, y'all! ",NULL,Smile,Android,Send-A-Smile,Appreciation,Performance,,
3701,After logging in it fails to get any information and all I see is a blank screen with the logo.,1,Feature Survey,Android,Floodgate,Issue,Access,,
3707,can't login. app hangs. no useful error message or way to report issues when see errror,1,Feature Survey,Android,Floodgate,Issue,Access,,
3709,Centralized app,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3710,keeps crashing,1,Feature Survey,Android,Floodgate,Issue,Reliability/Stability,,
3713,It?s snappy and has all the essential data. Good job.,5,Feature Survey,iOS,Floodgate,Appreciation,Performance,,
3714,Biometric unlock as an option instead of only a PIN would be awesome!,4,Feature Survey,Android,Floodgate,Enhancement Request,Access,Biometric Unlock,No
3718,Easy and intuitive to use,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3720,I was just thinking about an easy way to submit StayFit and the email came in to use this app! ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,StayFit,Yes
3721,The vesting is a bit cumbersome given some stock vests a day or two apart,4,Feature Survey,iOS,Floodgate,Issue,Performance,Stock,Yes
3724,"when i installed it on my Android device throu the web page, it did not install into my work professional so it would not work. had to manually uninstall and reinstall. it shells me out to the browser all the time, so thats a poor experience. it will not let me upload a receipt for reimbursement as the default file size is too big - thats just poor design.",2,Feature Survey,Android,Floodgate,Issue,Performance,StayFit,Yes
3727,I love the one stop shop!,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
3729,do not use it enough,3,Feature Survey,Android,Floodgate,Enhancement Request,Early Survey Prompt,,
3733,all stuff I care about is in one place finally!,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
3734,Not clear if this app is available only in the android work profile. My credentials loaded only when I downloaded this app on my work  profile.,3,Feature Survey,Android,Floodgate,Critique,Ease of Use,,
3735,Mostly great but Expense Report tab doesn't show the one I have pending approval and the Tempe AZ office is not listed for room booking (not that it matters much now!),4,Feature Survey,iOS,Floodgate,Issue,Trust/Data Quality,"Expense, Book a room",Yes
3738,just started to use it and it offer to clean the calendar for the holidays which is good.,4,Feature Survey,Android,Floodgate,Appreciation,UI,Holidays,Yes
3740,cannot login,1,Feature Survey,Android,Floodgate,Issue,Access,,
3744,"Like the app.  However, multiple times I?ve used the daily COVID health check before entering my office (in Reston) and then was sent an email saying I hadn?t completed the check.  Had to go back to using a web browser link for that function.",3,Feature Survey,iOS,Floodgate,Issue,Trust/Data Quality,,
3745,Having wellness check in for building access in app makes it more convenient than using codes at building entrances.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3749,"I can?t open the app, it says limited functionality so I can?t log my vacation or access resources ",1,Feature Survey,iOS,Floodgate,Issue,Reliability/Stability,,
3752,Bummed I initially can?t see my payroll information but will do some digging ,4,Feature Survey,iOS,Floodgate,Critique,UI,,
3754,some recent quirks with connection stability and tiles disappearing from dashboard,4,Feature Survey,Android,Floodgate,Issue,Reliability/Stability,,
3755,App easy to navigate and it had all the information I needed.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3762,Really hits the spot,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
3763,It just doesn?t do much. I can?t see the details of my paystub and I don?t see my expense reports. ,2,Feature Survey,iOS,Floodgate,Enhancement Request,"Reliability/Stability, UI","Paystub, Expense",Yes
3768,"just installed, submitted vacation easily",5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,Time-Off,Yes
3773,Easily access HR tools when needed.,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
3775,I like it?s simplicity and the diversity of the available resources in one single location.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3777,User friendly  ,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
3780,Very good job! It is super fast to start and navigate and presents lots of useful tidbits of information. Amazed!,5,Feature Survey,iOS,Floodgate,Appreciation,Performance,,
3781,The app has revolved well into a must have app on my phone now!,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3783,Very user friendly and exceeded my expectation with all the different components included from vacation days to stay fit. ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,"Time-Off, StayFit",Yes
3785,It's really neat!,4,Feature Survey,iOS,Floodgate,Appreciation,UI,,
3792,cannot login,1,Feature Survey,Android,Floodgate,Issue,Access,,
3803,The app does not work on my Note8.,1,Feature Survey,Android,Floodgate,Issue,Access,,
3811,Submitting stay for receipt isn't working well,2,Feature Survey,iOS,Floodgate,Issue,Performance,StayFit,Yes
3812,East to use and adds value by allowing me to access personal Corp information quickly from my phone. ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3823,Unable to sign in now for three days after installing the app in my new phone ,1,Feature Survey,iOS,Floodgate,Issue,Access,,
3850,I love this app. It?s been so hard to look at stuff that are so diverse and at very different places. This app is very much needed as consolidates all of these in one place. Thank you very much for creating this long needed app! ,NULL,Smile,iOS,Send-A-Smile,Appreciation,Ease of Use,,
3860,Excellent product,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3888,It?s easy to access all the required information on personal device. Happy with the options provided.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
3895,"Can?t sign in on my iPhone, saying can?t retrieve user details. ",1,Feature Survey,iOS,Floodgate,Issue,Access,,
3896,After Google workplace I can't use my biometric to login. I need to provide pi,4,Feature Survey,Android,Floodgate,Issue,Access,,
3902,I used the app for like maybe five minutes and you ask me NSAT? Seriously?,1,Feature Survey,iOS,Floodgate,Enhancement Request,Early Survey Prompt,,
3909,"useful,central location to view some high frequency he related information.",5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
3914,Can?t log on,1,Feature Survey,iOS,Floodgate,Issue,Access,,
3917,It doesn?t load past the splash screen?,1,Feature Survey,iOS,Floodgate,Issue,Access,,
3943,"The Time Off tools flashes a bunch when I load it, and after a few seconds ends up showing incomplete data.",NULL,Frown,iOS,Send-A-Smile,Issue,"Trust/Data Quality, Performance",Time-Off,Yes
3949,"Just noticed the notifications, very handy!",NULL,Smile,Android,Send-A-Smile,Appreciation,UI,,
3950,The app gives me easy access to information I would normally have to visit several websites to get.    The only thing really missing would be the ability to log labor or at least have time off I submit via the app be logged in the Time system automatically. ,5,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Time-Off,Yes
3953,Would like more features such as a breakdown of vacation days as seen in aka.ms/tar,4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Time-Off,Yes
3966,Probably have better feedback when it?s fully functional ,3,Feature Survey,iOS,Floodgate,Critique,,,
3989,Great interaction. Easy to see the info!,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
3993,Erroring out when I open it. Trying logging out and back in as a possible solution.,2,Feature Survey,Android,Floodgate,Issue,Access,,
3998,Useful and handy,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
4014,Extremely easy to use; not cluttered with too many features; tiles are clear and simple.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4018,Weird authentication issues cause silent failure sometimes,4,Feature Survey,iOS,Floodgate,Issue,Access,,
4042,"it's great, keep the integrations coming!",4,Feature Survey,Android,Floodgate,Appreciation,UI,,
4047,"easy and quick to use, UI for tar is responsive and shows changes to my time off as I select dates, and I don?t have to go through multiple logins or get on a vpn ",5,Feature Survey,iOS,Floodgate,Appreciation,UI,Time-Off,Yes
4050,Vacation submission was awesome ,5,Feature Survey,iOS,Floodgate,Appreciation,UI,Time-Off,Yes
4053,very convenient,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
4054,Great dashboard view of important info.  ,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
4059,Nice app. Some information is not provided in the app like a full pay stub. It currently pushes me to the green website.,4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Paystub,Yes
4078,Receipt upload is now broken.  I used to be able to upload receipts but now I can't.  It doesn't do anything the receipt just isn't there.  I tried restarting and everything.  Something is broken.,NULL,Frown,Android,Send-A-Smile,Issue,Reliability/Stability,StayFit,Yes
4088,I can get things done on my phone. The App is easy to use. ,4,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4092,Everything great but sending kudos takes a long time,4,Feature Survey,Android,Floodgate,Enhancement Request,Performance,Kudos,Yes
4099,very easy to use and clear concise information at my fingertips,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
4120,Ease if use and features ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4125,Just started to use and very nice to have these functions available on app.  Really like it.  Can see how useful it will be when back on campus.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4139,Been waiting for something like this for a long time  ,5,Feature Survey,iOS,Floodgate,Appreciation,Other,,
4148,"I need to be able to submit pdf receipts, not just image files. Remove the filter please!",1,Feature Survey,Android,Floodgate,Enhancement Request,UI,StayFit,Yes
4149,Love having all of the needed apps in on central easily accessible place.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4153,Please implement dark mode ,4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Dark Mode,No
4158,Love this app! Only giving 4 stars because Stayfit is unavailable right now.,4,Feature Survey,iOS,Floodgate,Issue,Reliability/Stability,StayFit,Yes
4178,"Submitting vacation was way nicer and easier through this than our ancient TAR website. But the experience is limited, I want better reporting on my vacation and sick days overall, what I?ve taken, what?s remaining, how much is at risk of expiring. ",4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Time-Off,Yes
4188,"First time use it, it's more convenient than website",5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4191,It?s an amazingly developed and designed app. ,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
4192,Very handy tool to have without having to login into PC.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4204,Finally an app that gives you one stop shop for MS employee.  Would love to see link to the company store!,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4219,This is a fantastic interface and great on iPhone - well done!,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
4225,Good information in one place! ,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4234,Great ui  Love it ,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
4245,"Cant upload any photo receipt with 5 MB limit. Any modern phone, the photo file size is larger than 5MB.",2,Feature Survey,iOS,Floodgate,Enhancement Request,UI,StayFit,Yes
4258,Great and quick experience. ,NULL,Smile,iOS,Send-A-Smile,Appreciation,Performance,,
4269,Good hub and gets better as features are added,4,Feature Survey,Android,Floodgate,Appreciation,UI,,
4278,Was able to quickly find the information I was looking for  ,4,Feature Survey,iOS,Floodgate,Appreciation,Performance,,
4284,Submitting reimbursement here was stellar! Assuming it goes through ok. So easy. Thank you! Please make expense reporting this easy. ,NULL,Smile,iOS,Send-A-Smile,Appreciation,UI,StayFit,Yes
4286,This is an amazing app. It truly is the hub of information. Looking forward to more features and functions.,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
4291,Can you please add to get reimbursement for prescription and medical ,5,Feature Survey,iOS,Floodgate,Enhancement Request,UI,Medical Reimbursement,No
4300,Create a checklist of things I need to do or complete. This would be especially useful for a new hire.,4,Feature Survey,Android,Floodgate,Enhancement Request,UI,New Hire Checklist,No
4328,Helpful,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4333,Easy to see useful info on dashboard,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
4334,Did not use it much.  The app is a great idea with a lot of potential for becoming super useful. ,4,Feature Survey,iOS,Floodgate,Enhancement Request,Early Survey Prompt,,
4346,Very easy app.,5,Feature Survey,Android,Floodgate,Appreciation,Ease of Use,,
4352,My first time using it and I love it. Easy to use.,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4388,Great start as a central hub for employee actions ,4,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4389,I love the ease and hope more things comes soon!!,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4393,"All the stuff I use most often in the same place, fantastic!",5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
4410,"buttons will cut the last letter off of a word like ""continu"" instead of ""continue""",4,Feature Survey,Android,Floodgate,Enhancement Request,UI,,
4413,1. Multi selection of files for upload should be allowed in one go 2. Please show preview of attached file 3. Add receipt scanning for auto adding dates and amounts,NULL,Frown,Android,Send-A-Smile,Enhancement Request,UI,StayFit,Yes
4433,I like this ,5,Feature Survey,iOS,Floodgate,Appreciation,Other,,
4437,Quick and easy access on phone!!,5,Feature Survey,iOS,Floodgate,Appreciation,Performance,,
4448,"It should be easier to express the tax on StayFit reimbursement items, and to also use one receipt for multiple items.",4,Feature Survey,iOS,Floodgate,Enhancement Request,UI,StayFit,Yes
4455,Thanks for making this. First iteration and it's already super cool and useful. Props to those behind this effort,NULL,Smile,Android,Send-A-Smile,Appreciation,Ease of Use,,
4460,Just used this for the first time to submit vacation. Great experience!!!!,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,Time-Off,Yes
4465,Well done,5,Feature Survey,iOS,Floodgate,Appreciation,Other,,
4466,So far so good,5,Feature Survey,iOS,Floodgate,Appreciation,Other,,
4475,Love the snapshot of key information relevant to me.,5,Feature Survey,iOS,Floodgate,Appreciation,UI,,
4477,Ease of use and availability on my mobile,5,Feature Survey,iOS,Floodgate,Appreciation,Ease of Use,,
82,"Customer Health Dashboard could be integrated into Account 360 (maybe as a link)? Nice views, with historical revenue split per product, other KPIs + benchmark to Industry. https://msit.powerbi.com/groups/me/reports/0780f76c-fd26-4585-880b-0d6449010461/ReportSection?bookmarkGuid=Bookmark620a4065b86642800934&ctid=72f988bf-86f1-41af-91ab-2d7cd011db47",NULL,Idea,Web,User Voice,Enhancement Request,Ease of Use,"Customer Health Dashboard, Account 360",Yes
83,"This will facilitate value tree creation , Share of Wallet calculation,  for many teams , rather than looking up this info online. Will increase value added of the tool enormously. As a next step, it could be even adding  calculation of IT spend (usually not published by custmers but can be deducted as industry average % of revenue for example), and automating industry value tree.",NULL,Idea,Web,User Voice,Enhancement Request,Ease of Use,Wallet,Yes
89,It would be great to have the Headquarters and downstream locations clearly deliniated as such within the standard views of Account 360,NULL,Idea,Web,User Voice,Enhancement Request,UI,"Headquarters, Account 360",Yes
2472,It would be incredibly helpful if we were able to save our specific customers as favorites and not have to use filters to get to the customer data EVERY time that we open MSXI.  This is incredibly time consuming.  Is this possibly in later iterations of MSXI?  Please give us hope! Thank you!,NULL,Frown,Web,Send-A-Smile,Enhancement Request,Ease of Use,,Yes
2532,"The white space wasted by the Benchmark View which is generally useless to specialists and probably others is annoying.  Give us teh ability to remove that visual, or make it smaller.  We need the visual above and the Engagements and Milestones view below",NULL,Frown,Web,Send-A-Smile,Enhancement Request,UI,"Benchmarks, Engagements, Milestones",Yes
2537,The Milestones by Month view which is the most important view for me as a specialist has been made completely useless because i can't see the months on my screen - too many useless fixed fields and no ability for me to customize the view for what i need.,NULL,Frown,Web,Send-A-Smile,Enhancement Request,UI,Milestones,Yes
2555,do you really think those colours help?,NULL,Frown,Web,Send-A-Smile,Critique,UI,,
2595,My get help function does not work and I need to open a ticket. ,NULL,Frown,Web,Send-A-Smile,Issue,Reliability/Stability,Get help,
2601,"seem to be missing details on a lot of metrics: ACR - Where can I find the ""partner influenced ACR"" for my account? Did have a great report out of C&AI before, but now this is nowhere to be seen. MW - Where can I find consumption for Windows, OPP, EXO, SPO, etc. We used to have this metric shown on the MWC business review, but now I can only see Team MAU.  Frustrating when we are trying to track progress year over year. I get it that we are focused on different metrics this year (i.e. we get paid on Teams MAU), but honestly, Teams is a */component/* of overall Modern Work consumption, and part of the story. Would be good if we could keep reports at least somewhat consistent from FY to FY ....  Thanks!! brent.",NULL,Frown,Web,Send-A-Smile,Enhancement Request,UI,"ACR, Modern Work Consumption",Yes
2606,Sales Forecast- Forecast Build - the product button selects the sector (already button for Sector) - not showing the product breakdown,NULL,Frown,Web,Send-A-Smile,Issue,Reliability/Stability,Sales Forecast,Yes
2618,Why am I showing Win10 OEM only at ~7k instances when UPS has ~214k deployed? ,2,Feature Survey,Web,Floodgate,Issue,Trust/Data Quality,,
2639,"Hi Team,   in the SMB report we see ARPC (currently declining) but we only see Dynamics 365 which is currently including Power Platform revenue. As normally Power Platform projects are smaller in revenue it is hard to get a clear picture about the situation. Can we split Power Platform and Dynamics 365 in the report? ",NULL,Frown,Web,Send-A-Smile,Enhancement Request,Ease of Use,"SMB, Power Platform, Dynamics 365",Yes
2663,"The grey text in MSXi can be difficult to read, especially as zooming in on browser does not increase the size. This is an accessibility issue. Even with good eyesight I struggle sometimes to focus on the text and makes it tiring to use MSXi",NULL,Frown,Web,Send-A-Smile,Issue,UI,,
2708,"Some numbers in ""Account 360"" do not make any sense. And I would appreciate more descriptions, as some metrics are not self-explanatory (like # ARM deployment in the Azure part)",4,Feature Survey,Web,Floodgate,Critique,Ease of Use,Account 360,Yes
2722,Why is the Azure Summary now under:  Data & AI / Manager to Team / Azure Summary !?  This does not make sense,NULL,Frown,Web,Send-A-Smile,Critique,Ease of Use,Azure Summary,Yes
2914,The query page is hang after click search with [PII: GUID]. It used to work well before.,NULL,Frown,Web,Send-A-Smile,Issue,Reliability/Stability,,
2958,"We are trying to share more information with our customers on investments we are making into the relationship (ECIF, ACO, etc) and having a summary view / widget in the A360 dashboard that shows OneAsk request details (status, amount, date, purpose) would be very useful.",NULL,Idea,Web,User Voice,Enhancement Request,UI,Account 360,Yes
2994,Cause i think so,3,Feature Survey,Web,Floodgate,Critique,Other,,
3011,The interface is not modern and requires navigating too many levels to accomplish simple tasks. As a member of the sales team I find I am double keying information from my Notes (customer note taking) environment. What we need is a field friendly (in customer meeting) interface. ,1,Feature Survey,Web,Floodgate,Critique,UI,,
3039,"I'd love more capabilities to easy customize views, add columns etc... it is cumbersome now",4,Feature Survey,Web,Floodgate,Enhancement Request,UI,,
3040,"too much legacy data still sitting in view, need to drilling into individual opps to update summary fields, too many columns on screen ",2,Feature Survey,Web,Floodgate,Critique,UI,,
3044,Possibility to extract the data to excel,4,Feature Survey,Web,Floodgate,Enhancement Request,UI,,
3050,Performance gets very slow on occasion. ,2,Feature Survey,Web,Floodgate,Critique,Performance,,
3058,Please add the option to right click a lead and open a new tab. I feel this would be beneficial to anyone that uses MSX to be more efficient,NULL,Frown,Web,Send-A-Smile,Enhancement Request,UI,Lead,Yes
3066,I haven't found matches between insights information and the real activities happening with my customers.,NULL,Frown,Web,Send-A-Smile,Critique,UI,,
3080,"Navigation not easy e.g. how to go back to the opportunity from the New Product page? Also, search is not easy e.g. finding all opportunities for a certain product within a specific country.",2,Feature Survey,Web,Floodgate,Critique,UI,,
3105,I have the wrong role assigned to me and I can't change it per the MSXI instructions.  How do I go about changing from ATS Role --> FastTrack Modern Work Architect Role?,NULL,Frown,Web,Send-A-Smile,Critique,Ease of Use,,
3111,"I would like to see not only the AE but also CSP, Dynamics Speciaslists  Also searching on more fields than just account name seems difficult - ",3,Feature Survey,Web,Floodgate,Enhancement Request,UI,,
3142,we need more speed of this system,4,Feature Survey,Web,Floodgate,Critique,Performance,,
